x,y,value
S193,C Perkins,0
S193,R Curatolo,0
S193,W L Ho,0
S193,M F Poon,0
S193,W M Lai,0
S193,O Peslier,0
S193,C Murray,0
S193,A Sanna,0
P364,O Doleuze,0
P364,N Rawiller,0
P364,O Bosson,0
P364,H N Wong,0
P364,M Chadwick,0
P364,T H So,0
P364,Z Purton,1
P364,K C Ng,0
P364,S Clipperton,0
P364,K K Chiong,0
P364,K C Leung,0
P364,N Callan,0
P364,K Teetan,0
P364,H T Mo,0
P364,B Prebble,0
P364,J Moreira,0
P364,D Whyte,0
P364,M L Yeung,0
P364,C Y Ho,0
P364,H W Lai,0
P364,Y T Cheng,0
P364,C Schofield,0
P364,S de Sousa,0
P364,U Rispoli,0
P364,C Williams,0
P364,L Corrales,0
P364,O Murphy,0
P364,G Mosse,0
P364,T Berry,0
P364,H Bowman,0
P364,C Soumillon,0
P364,D Lane,0
P364,M Barzalona,0
P364,F Geroux,0
P364,P Smullen,0
P364,G Lerena,0
P364,M Demuro,0
P364,R Moore,0
P364,K Tosaki,0
P364,N Juglall,0
P364,T Clark,0
P364,A Badel,0
P364,M Guyon,0
P364,Y Iwata,0
P364,Y Take,0
P364,R Myers,0
P364,S Pasquier,0
P364,B Vorster,0
P364,B Melham,0
P364,G Lee,0
P364,Y Kawada,0
P364,D O'Brien,0
P364,P-C Boudot,0
P364,G Schofield,0
P364,H Lam,0
P364,M Wepner,0
P364,C Perkins,0
P364,R Curatolo,0
P364,W L Ho,0
P364,M F Poon,0
P364,W M Lai,0
P364,O Peslier,0
P364,C Murray,0
P364,A Sanna,0
T288,O Doleuze,0.5
T288,N Rawiller,0
T288,O Bosson,0
T288,H N Wong,0
T288,M Chadwick,0
T288,T H So,0
T288,Z Purton,0
T288,K C Ng,0
T288,S Clipperton,0
T288,K K Chiong,1
T288,K C Leung,0
T288,N Callan,0
T288,K Teetan,0
T288,H T Mo,0
T288,B Prebble,0
T288,J Moreira,0
T288,D Whyte,0
T288,M L Yeung,0
T288,C Y Ho,0
T288,H W Lai,0
T288,Y T Cheng,0
T288,C Schofield,0
T288,S de Sousa,0
T288,U Rispoli,0
T288,C Williams,0
T288,L Corrales,0
T288,O Murphy,0
T288,G Mosse,0
T288,T Berry,0
T288,H Bowman,0
T288,C Soumillon,0
T288,D Lane,0
T288,M Barzalona,0
T288,F Geroux,0
T288,P Smullen,0
T288,G Lerena,0
T288,M Demuro,0
T288,R Moore,0
T288,K Tosaki,0
T288,N Juglall,0
T288,T Clark,0
T288,A Badel,0
T288,M Guyon,0
T288,Y Iwata,0
T288,Y Take,0
T288,R Myers,0
T288,S Pasquier,0
T288,B Vorster,0
T288,B Melham,0
T288,G Lee,0
T288,Y Kawada,0
T288,D O'Brien,0
T288,P-C Boudot,0
T288,G Schofield,0
T288,H Lam,0
T288,M Wepner,0
T288,C Perkins,0
T288,R Curatolo,0
T288,W L Ho,0
T288,M F Poon,0
